	WormGEMid	GeneID1
13899	T06C10.3	V3C99_008460
13901	M176.9	V3C99_008463
13902	R11E3.1	V3C99_008463
13903	T06C10.3	V3C99_008463
13904	F38A5.2	V3C99_008465
13905	odr-8	V3C99_008466
13906	nbet-1	V3C99_008467
13908	NNNNNN	V3C99_008469
13909	mtrf-1L	V3C99_008470
13910	lam-1	V3C99_008471
13912	rpl-39	V3C99_008474
13913	C24D10.6	V3C99_008474
13914	soc-2	V3C99_008479
13915	lip-1	V3C99_008481
13916	ceh-48	V3C99_008482
13917	gex-2	V3C99_008485
13918	Y57G11C.43	V3C99_008486
13919	NNNNNN	V3C99_008487
13920	NNNNNN	V3C99_008489
13921	NNNNNN	V3C99_008490
13922	NNNNNN	V3C99_008491
13923	aman-1	V3C99_008494
13924	pnp-1	V3C99_008499
13926	nkb-2	V3C99_008502
13927	NNNNNN	V3C99_008503
13928	NNNNNN	V3C99_008504
13929	NNNNNN	V3C99_008505
13930	drd-1	V3C99_008506
13931	F49E12.10	V3C99_008506
13933	NNNNNN	V3C99_008512
13934	NNNNNN	V3C99_008512
13935	cho-1	V3C99_008513
13936	pwp-1	V3C99_008514
13937	tag-115	V3C99_008515
13938	NNNNNN	V3C99_008516
13939	ikb-1	V3C99_008517
13940	NNNNNN	V3C99_008518
13941	NNNNNN	V3C99_008518
13944	NNNNNN	V3C99_008520
13945	NNNNNN	V3C99_008522
13946	NNNNNN	V3C99_008524
13975	NNNNNN	V3C99_008530
13976	vha-5	V3C99_008531
13977	npp-20	V3C99_008532
13978	tbce-1	V3C99_008534
13979	daf-31	V3C99_008535
13980	K07H8.2	V3C99_008535
13981	NNNNNN	V3C99_008536
13982	nas-8	V3C99_008537
13983	sorb-1	V3C99_008541
13984	NNNNNN	V3C99_008542
13985	NNNNNN	V3C99_008544
13986	NNNNNN	V3C99_008544
13987	NNNNNN	V3C99_008546
13988	NNNNNN	V3C99_008546
13989	NNNNNN	V3C99_008548
13990	rpl-7A	V3C99_008549
13992	NNNNNN	V3C99_008551
13993	tmem-231	V3C99_008552
14019	plst-1	V3C99_008553
14024	prkl-1	V3C99_008554
14025	cfim-2	V3C99_008555
14029	NNNNNN	V3C99_008557
14030	C17H12.3	V3C99_008557
14031	NNNNNN	V3C99_008557
14036	snai-1	V3C99_008560
14037	NNNNNN	V3C99_008562
14038	NNNNNN	V3C99_008563
14039	T26A8.4	V3C99_008564
14040	NNNNNN	V3C99_008565
14041	NNNNNN	V3C99_008567
14043	NNNNNN	V3C99_008570
14045	siah-1	V3C99_008572
14049	NNNNNN	V3C99_008588
14052	NNNNNN	V3C99_008592
14053	NNNNNN	V3C99_008594
14054	NNNNNN	V3C99_008595
14055	NNNNNN	V3C99_008596
14056	NNNNNN	V3C99_008597
14057	NNNNNN	V3C99_008600
14058	NNNNNN	V3C99_008601
14124	NNNNNN	V3C99_008601
14125	NNNNNN	V3C99_008601
14127	NNNNNN	V3C99_008601
14128	NNNNNN	V3C99_008601
14129	NNNNNN	V3C99_008601
14226	NNNNNN	V3C99_008601
14239	cpsf-1	V3C99_008603
14241	F42A6.6	V3C99_008605
14242	hrpa-1	V3C99_008607
14243	NNNNNN	V3C99_008608
14244	NNNNNN	V3C99_008613
14247	NNNNNN	V3C99_008616
14248	plk-1	V3C99_008617
14249	plk-2	V3C99_008617
14250	NNNNNN	V3C99_008619
14251	leo-1	V3C99_008621
14252	Y77E11A.12	V3C99_008622
14253	mrpl-46	V3C99_008623
14254	ech-5	V3C99_008624
14256	mdt-20	V3C99_008626
14257	spl-3	V3C99_008627
14258	NNNNNN	V3C99_008628
14259	C09E9.1	V3C99_008629
14260	NNNNNN	V3C99_008631
14261	plc-4	V3C99_008632
14262	vdac-1	V3C99_008633
14263	NNNNNN	V3C99_008634
14271	NNNNNN	V3C99_008639
14272	bris-1	V3C99_008640
14273	cal-3	V3C99_008641
14274	NNNNNN	V3C99_008643
14275	nhr-8	V3C99_008644
14276	mrps-24	V3C99_008645
14277	mrps-24	V3C99_008646
14279	NNNNNN	V3C99_008647
14281	NNNNNN	V3C99_008649
14282	F37C4.6	V3C99_008652
14283	lag-1	V3C99_008653
14284	lag-1	V3C99_008655
14289	hlh-30	V3C99_008662
14290	NNNNNN	V3C99_008663
14294	nhr-67	V3C99_008667
14295	C36A4.4	V3C99_008668
14296	pfd-1	V3C99_008669
14297	F01G4.6	V3C99_008670
14298	pigq-1	V3C99_008671
14299	wht-2	V3C99_008672
14300	imp-2	V3C99_008673
14301	NNNNNN	V3C99_008674
14302	wht-2	V3C99_008675
14303	enpl-1	V3C99_008676
14305	NNNNNN	V3C99_008677
14308	NNNNNN	V3C99_008683
14309	NNNNNN	V3C99_008683
14310	tat-2	V3C99_008684
14311	NNNNNN	V3C99_008686
14312	fic-1	V3C99_008687
14313	lgg-2	V3C99_008688
14314	lsm-7	V3C99_008689
14315	rbr-2	V3C99_008691
14316	NNNNNN	V3C99_008692
14317	smg-7	V3C99_008693
14318	lin-45	V3C99_008694
14319	NNNNNN	V3C99_008695
14320	T07F12.2	V3C99_008696
14326	F38B6.4	V3C99_008702
14327	NNNNNN	V3C99_008705
14328	NNNNNN	V3C99_008708
14330	rho-1	V3C99_008711
14331	gdi-1	V3C99_008715
14332	coq-3	V3C99_008716
14333	nuo-3	V3C99_008717
14334	arl-8	V3C99_008718
14335	unc-22	V3C99_008720
14336	tsen-54	V3C99_008722
14337	denn-4	V3C99_008723
14341	jnk-1	V3C99_008727
14342	NNNNNN	V3C99_008728
14343	NNNNNN	V3C99_008729
14344	NNNNNN	V3C99_008730
14345	dpy-4	V3C99_008731
14346	NNNNNN	V3C99_008735
14347	nft-1	V3C99_008737
14348	Y56A3A.22	V3C99_008738
14349	trap-4	V3C99_008739
14350	ccf-1	V3C99_008740
14351	znf-593	V3C99_008741
14353	atg-3	V3C99_008745
14354	cyn-12	V3C99_008746
14356	NNNNNN	V3C99_008747
14358	NNNNNN	V3C99_008751
14360	sand-1	V3C99_008754
14361	F41H10.4	V3C99_008755
14362	NNNNNN	V3C99_008756
14363	nekl-3	V3C99_008759
14366	gpx-7	V3C99_008760
14367	NNNNNN	V3C99_008761
14368	NNNNNN	V3C99_008762
14369	NNNNNN	V3C99_008762
14370	NNNNNN	V3C99_008762
14371	hrpa-1	V3C99_008763
14372	NNNNNN	V3C99_008764
14373	hda-6	V3C99_008765
14374	F41H10.5	V3C99_008766
14376	NNNNNN	V3C99_008780
14378	NNNNNN	V3C99_008788
14379	let-92	V3C99_008790
14380	NNNNNN	V3C99_008791
14381	sec-24.1	V3C99_008792
14382	F12F6.7	V3C99_008793
14383	ipmk-1	V3C99_008794
14384	ham-1	V3C99_008795
14385	elks-1	V3C99_008796
14386	tctn-1	V3C99_008797
14387	NNNNNN	V3C99_008798
14388	uba-1	V3C99_008800
14389	trpa-1	V3C99_008801
14392	NNNNNN	V3C99_008810
14393	NNNNNN	V3C99_008811
14397	Y38C1AA.1	V3C99_008814
14398	coa-1	V3C99_008815
14399	gfrp-1	V3C99_008816
14400	csn-3	V3C99_008817
14401	NNNNNN	V3C99_008818
14402	gtf-2H1	V3C99_008819
14403	sars-2	V3C99_008820
14423	arle-14	V3C99_008823
14424	srf-3	V3C99_008824
14425	nstp-5	V3C99_008825
14429	dnbp-1	V3C99_008828
14431	rop-1	V3C99_008830
14432	NNNNNN	V3C99_008831
14433	mrp-7	V3C99_008832
14437	Y73F8A.5	V3C99_008837
14438	NNNNNN	V3C99_008838
14439	dnc-4	V3C99_008839
14440	NNNNNN	V3C99_008841
14441	NNNNNN	V3C99_008842
14446	famp-1	V3C99_008844
14447	NNNNNN	V3C99_008845
14450	nol-9	V3C99_008847
14451	pik-1	V3C99_008848
14452	tpa-1	V3C99_008850
14455	sart-3	V3C99_008854
14456	prp-18	V3C99_008855
14457	Y67D8A.2	V3C99_008856
14458	dmd-9	V3C99_008857
14459	NNNNNN	V3C99_008858
14460	fln-1	V3C99_008859
14461	NNNNNN	V3C99_008862
14463	NNNNNN	V3C99_008865
14464	NNNNNN	V3C99_008865
14465	sma-6	V3C99_008866
14466	NNNNNN	V3C99_008868
14470	NNNNNN	V3C99_008871
14476	nduv-2	V3C99_008877
14477	Y71F9AL.1	V3C99_008878
14478	NNNNNN	V3C99_008881
14480	Y37E11B.5	V3C99_008884
14481	taf-2	V3C99_008885
14482	blos-7	V3C99_008886
14483	NNNNNN	V3C99_008887
14484	map-1	V3C99_008888
14485	unc-8	V3C99_008889
14486	NNNNNN	V3C99_008890
14487	W01B6.3	V3C99_008894
14491	W01B6.3	V3C99_008898
14492	F14D7.6	V3C99_008901
14493	ZK550.2	V3C99_008901
14495	T28C12.2	V3C99_008901
14496	F14D7.6	V3C99_008903
14497	ZK550.2	V3C99_008903
14499	T28C12.2	V3C99_008903
14500	NNNNNN	V3C99_008905
14501	NNNNNN	V3C99_008906
14502	C35B1.5	V3C99_008907
14503	NNNNNN	V3C99_008909
14504	acs-13	V3C99_008910
14505	adm-2	V3C99_008913
14507	NNNNNN	V3C99_008920
14508	NNNNNN	V3C99_008920
14510	NNNNNN	V3C99_008920
14511	NNNNNN	V3C99_008920
14512	best-24	V3C99_008921
14519	NNNNNN	V3C99_008925
14526	NNNNNN	V3C99_008928
14532	F56A11.5	V3C99_008929
14539	ant-1.1	V3C99_008933
14541	ant-1.3	V3C99_008933
14542	ant-1.4	V3C99_008933
14543	NNNNNN	V3C99_008934
14545	efn-4	V3C99_008935
14546	NNNNNN	V3C99_008936
14547	NNNNNN	V3C99_008937
14549	NNNNNN	V3C99_008938
14556	NNNNNN	V3C99_008943
14561	nhr-41	V3C99_008949
14562	NNNNNN	V3C99_008952
14563	hgrs-1	V3C99_008953
14564	wsp-1	V3C99_008954
14565	nprt-1	V3C99_008956
14566	atic-1	V3C99_008957
14568	NNNNNN	V3C99_008959
14569	ocr-3	V3C99_008960
14570	ethe-1	V3C99_008968
14571	acs-20	V3C99_008969
14572	rps-23	V3C99_008971
14573	dpm-3	V3C99_008972
14574	ddr-2	V3C99_008973
14575	NNNNNN	V3C99_008975
14576	C55C3.1	V3C99_008976
14577	NNNNNN	V3C99_008977
14648	scav-4	V3C99_008995
14649	magi-1	V3C99_008996
14651	best-19	V3C99_008998
14652	NNNNNN	V3C99_008999
14654	NNNNNN	V3C99_009002
14655	F21D5.5	V3C99_009003
14656	mrps-33	V3C99_009004
14657	F21D5.6	V3C99_009005
14658	F21D5.7	V3C99_009005
14659	NNNNNN	V3C99_009006
14660	NNNNNN	V3C99_009007
14661	NNNNNN	V3C99_009011
14681	NNNNNN	V3C99_009029
14682	NNNNNN	V3C99_009031
14683	NNNNNN	V3C99_009031
14684	glo-4	V3C99_009033
14685	NNNNNN	V3C99_009034
14697	mrt-1	V3C99_009050
14698	NNNNNN	V3C99_009051
14699	timm-17B.1	V3C99_009051
14700	hoe-1	V3C99_009052
14701	miro-1	V3C99_009054
14702	F25H8.1	V3C99_009055
14710	NNNNNN	V3C99_009058
14711	NNNNNN	V3C99_009059
14712	NNNNNN	V3C99_009060
14713	snf-10	V3C99_009061
14721	K07F5.15	V3C99_009065
14725	NNNNNN	V3C99_009066
14726	C50F2.5	V3C99_009066
14727	zip-3	V3C99_009067
14729	NNNNNN	V3C99_009069
14733	gba-4	V3C99_009070
14735	NNNNNN	V3C99_009072
14736	NNNNNN	V3C99_009073
14737	M03D4.4	V3C99_009074
14738	ard-1	V3C99_009075
14739	swsn-4	V3C99_009077
14740	gtbp-1	V3C99_009078
14741	ctf-18	V3C99_009079
14742	NNNNNN	V3C99_009080
14743	F38H4.5	V3C99_009083
14744	NNNNNN	V3C99_009084
14745	NNNNNN	V3C99_009089
14747	NNNNNN	V3C99_009095
14748	spo-11	V3C99_009096
14753	NNNNNN	V3C99_009098
14759	lsm-3	V3C99_009099
14760	mdt-9	V3C99_009100
14762	rrbs-1	V3C99_009101
14763	NNNNNN	V3C99_009102
14764	gcl-1	V3C99_009103
14768	sams-5	V3C99_009119
14770	sams-3	V3C99_009119
14771	sams-4	V3C99_009119
14775	NNNNNN	V3C99_009123
14776	NNNNNN	V3C99_009124
14777	mgl-3	V3C99_009125
14784	NNNNNN	V3C99_009128
14785	NNNNNN	V3C99_009129
14786	NNNNNN	V3C99_009130
14787	NNNNNN	V3C99_009132
14788	NNNNNN	V3C99_009133
14789	grld-1	V3C99_009134
14790	tut-1	V3C99_009135
14791	F58B3.6	V3C99_009136
14793	xpc-1	V3C99_009139
14795	alkb-1	V3C99_009141
14797	lev-1	V3C99_009145
14798	lev-1	V3C99_009146
14801	NNNNNN	V3C99_009147
14805	NNNNNN	V3C99_009147
14807	egl-20	V3C99_009151
14808	catp-6	V3C99_009153
14809	NNNNNN	V3C99_009154
14810	NNNNNN	V3C99_009155
14811	NNNNNN	V3C99_009156
14813	kdin-1	V3C99_009159
14814	fkb-1	V3C99_009160
14815	hmg-5	V3C99_009161
14816	iars-1	V3C99_009162
14817	NNNNNN	V3C99_009163
14818	C06A12.3	V3C99_009164
14819	Y38F2AR.12	V3C99_009167
14820	NNNNNN	V3C99_009168
14821	ZK822.5	V3C99_009171
14823	unc-77	V3C99_009173
14824	Y38H8A.4	V3C99_009174
14825	tag-344	V3C99_009174
14826	C27D6.11	V3C99_009174
14827	Y38H8A.4	V3C99_009178
14828	tag-344	V3C99_009178
14829	C27D6.11	V3C99_009178
14832	NNNNNN	V3C99_009182
14845	NNNNNN	V3C99_009182
14846	NNNNNN	V3C99_009182
14848	NNNNNN	V3C99_009182
14849	NNNNNN	V3C99_009183
14850	NNNNNN	V3C99_009183
14851	NNNNNN	V3C99_009184
14852	NNNNNN	V3C99_009185
14853	wnk-1	V3C99_009187
14854	NNNNNN	V3C99_009189
14855	NNNNNN	V3C99_009192
14856	NNNNNN	V3C99_009193
14858	NNNNNN	V3C99_009195
14859	NNNNNN	V3C99_009196
14860	tmem-145	V3C99_009198
14862	erp-44.2	V3C99_009200
14863	NNNNNN	V3C99_009203
14866	NNNNNN	V3C99_009204
14868	NNNNNN	V3C99_009204
14871	NNNNNN	V3C99_009204
14872	NNNNNN	V3C99_009204
14873	NNNNNN	V3C99_009204
14874	NNNNNN	V3C99_009204
14875	NNNNNN	V3C99_009204
14876	NNNNNN	V3C99_009204
14878	NNNNNN	V3C99_009204
14879	NNNNNN	V3C99_009204
14880	NNNNNN	V3C99_009204
14888	NNNNNN	V3C99_009206
14889	NNNNNN	V3C99_009207
14890	ndx-4	V3C99_009208
14891	W09G3.7	V3C99_009209
14892	vha-8	V3C99_009210
14893	F40F4.7	V3C99_009211
14894	algn-6	V3C99_009212
14895	tald-1	V3C99_009213
14896	NNNNNN	V3C99_009214
14906	NNNNNN	V3C99_009217
14907	NNNNNN	V3C99_009217
14915	NNNNNN	V3C99_009218
14916	NNNNNN	V3C99_009218
14917	semo-1	V3C99_009219
14920	NNNNNN	V3C99_009227
14921	NNNNNN	V3C99_009227
14922	NNNNNN	V3C99_009227
14923	NNNNNN	V3C99_009228
14924	NNNNNN	V3C99_009228
14925	NNNNNN	V3C99_009228
14926	NNNNNN	V3C99_009229
14927	tag-30	V3C99_009230
14928	NNNNNN	V3C99_009231
14929	sucg-1	V3C99_009232
14930	NNNNNN	V3C99_009233
14931	pbs-1	V3C99_009234
14933	NNNNNN	V3C99_009235
14937	K08D12.3	V3C99_009236
14939	rpi-2	V3C99_009237
14943	NNNNNN	V3C99_009241
14944	npp-1	V3C99_009242
14945	K07F5.14	V3C99_009243
14947	K07F5.16	V3C99_009244
14949	nlr-1	V3C99_009245
14950	M57.2	V3C99_009247
14951	seld-1	V3C99_009248
14952	NNNNNN	V3C99_009249
14953	hars-1	V3C99_009250
14954	rbm-22	V3C99_009251
14965	NNNNNN	V3C99_009253
14966	dsc-4	V3C99_009255
14968	tag-322	V3C99_009257
14970	tag-321	V3C99_009259
14971	mtm-9	V3C99_009260
14972	sec-10	V3C99_009261
14973	NNNNNN	V3C99_009262
14974	sulp-4	V3C99_009264
14975	sulp-5	V3C99_009264
14976	efn-2	V3C99_009265
14977	prdh-1	V3C99_009268
14979	act-2	V3C99_009271
14981	kcc-2	V3C99_009272
14982	mpst-2	V3C99_009273
14983	mpst-3	V3C99_009273
14987	cyk-4	V3C99_009274
14988	rps-2	V3C99_009275
14990	NNNNNN	V3C99_009279
14991	dnj-14	V3C99_009280
14994	NNNNNN	V3C99_009289
14995	NNNNNN	V3C99_009289
14996	NNNNNN	V3C99_009294
14997	NNNNNN	V3C99_009294
14999	NNNNNN	V3C99_009295
15000	NNNNNN	V3C99_009296
15001	srp-1	V3C99_009305
15002	srp-2	V3C99_009305
15007	srp-1	V3C99_009306
15013	srp-1	V3C99_009309
15014	srp-2	V3C99_009309
15019	srp-1	V3C99_009310
15020	srp-2	V3C99_009310
15025	srp-1	V3C99_009312
15026	srp-2	V3C99_009312
15034	NNNNNN	V3C99_009314
15048	agt-1	V3C99_009320
15049	rla-2	V3C99_009321
15050	Y62E10A.20	V3C99_009322
15051	rab-19	V3C99_009323
15052	emc-3	V3C99_009324
15055	nprl-3	V3C99_009326
15056	mau-8	V3C99_009327
15057	Y62E10A.6	V3C99_009328
15058	Y62E10A.24	V3C99_009329
15059	mrpl-47	V3C99_009331
15060	dis-3	V3C99_009334
15061	egl-38	V3C99_009335
15062	pax-2	V3C99_009335
15063	NNNNNN	V3C99_009337
15064	lpl-1	V3C99_009339
15065	mrpl-42	V3C99_009339
15066	copg-1	V3C99_009340
15067	NNNNNN	V3C99_009341
15068	NNNNNN	V3C99_009342
15069	pps-1	V3C99_009343
15070	fnip-2	V3C99_009344
15071	NNNNNN	V3C99_009346
15072	NNNNNN	V3C99_009347
15074	NNNNNN	V3C99_009348
15076	paqr-3	V3C99_009349
15077	Y67A10A.7	V3C99_009350
15078	NNNNNN	V3C99_009351
15080	NNNNNN	V3C99_009353
15081	NNNNNN	V3C99_009354
15112	NNNNNN	V3C99_009358
15114	NNNNNN	V3C99_009359
15115	NNNNNN	V3C99_009362
15116	NNNNNN	V3C99_009363
15117	NNNNNN	V3C99_009364
15118	gdh-1	V3C99_009365
15119	tgt-1	V3C99_009366
15120	NNNNNN	V3C99_009367
15121	znf-207	V3C99_009368
15123	tag-335	V3C99_009369
15124	NNNNNN	V3C99_009370
15125	rpl-34	V3C99_009371
15126	ppm-1.H	V3C99_009372
15127	gly-10	V3C99_009373
15128	sek-1	V3C99_009374
15129	rpl-18	V3C99_009375
15132	best-7	V3C99_009377
15133	NNNNNN	V3C99_009378
15134	paqr-1	V3C99_009382
15135	NNNNNN	V3C99_009383
15136	W03F8.4	V3C99_009390
15137	NNNNNN	V3C99_009392
15138	ptpn-22	V3C99_009393
15139	NNNNNN	V3C99_009394
15140	aly-1	V3C99_009395
15141	aly-2	V3C99_009395
15142	aly-3	V3C99_009395
15144	immp-2	V3C99_009396
15146	Y55F3AM.5	V3C99_009398
15147	lep-2	V3C99_009399
15148	Y55F3AM.9	V3C99_009400
15149	NNNNNN	V3C99_009401
15150	fbl-1	V3C99_009402
15151	lad-2	V3C99_009405
15152	NNNNNN	V3C99_009406
15153	ifta-2	V3C99_009407
15154	ufd-1	V3C99_009408
15155	F19B6.1	V3C99_009409
15156	C26E6.12	V3C99_009410
15158	NNNNNN	V3C99_009412
15159	NNNNNN	V3C99_009413
15160	unc-17	V3C99_009415
15161	cha-1	V3C99_009416
15163	NNNNNN	V3C99_009417
15165	daf-15	V3C99_009419
15166	rpl-12	V3C99_009420
15167	lin-54	V3C99_009421
15168	JC8.4	V3C99_009422
15169	cox-11	V3C99_009423
15170	JC8.7	V3C99_009424
15171	ints-11	V3C99_009425
15172	NNNNNN	V3C99_009428
15173	NNNNNN	V3C99_009429
15174	NNNNNN	V3C99_009430
15175	NNNNNN	V3C99_009430
15176	NNNNNN	V3C99_009431
15177	nud-2	V3C99_009432
15178	mcm-3AP	V3C99_009433
15179	glb-14	V3C99_009434
15180	glb-14	V3C99_009435
15181	NNNNNN	V3C99_009438
15182	NNNNNN	V3C99_009439
15183	NNNNNN	V3C99_009439
15184	nud-2	V3C99_009440
15185	mcm-3AP	V3C99_009441
15186	glb-14	V3C99_009442
15187	glb-14	V3C99_009443
15188	glb-14	V3C99_009444
15189	T04A11.1	V3C99_009445
15190	T04A11.2	V3C99_009445
15191	T04A11.4	V3C99_009445
15192	T04A11.5	V3C99_009445
15193	R02D1.2	V3C99_009445
15194	NNNNNN	V3C99_009449
15198	NNNNNN	V3C99_009453
15199	NNNNNN	V3C99_009453
15202	anoh-2	V3C99_009454
15204	Y57G11C.33	V3C99_009458
15207	gtl-1	V3C99_009464
15209	tatn-1	V3C99_009466
15212	NNNNNN	V3C99_009469
15216	spp-10	V3C99_009472
15218	itsn-1	V3C99_009474
15219	C06G3.8	V3C99_009475
15220	NNNNNN	V3C99_009476
15221	NNNNNN	V3C99_009477
15223	rpn-1	V3C99_009479
15224	ribo-1	V3C99_009481
15225	T22D1.3	V3C99_009482
15226	npr-12	V3C99_009485
15228	NNNNNN	V3C99_009486
15231	NNNNNN	V3C99_009486
15232	NNNNNN	V3C99_009486
15233	NNNNNN	V3C99_009486
15234	NNNNNN	V3C99_009486
15235	NNNNNN	V3C99_009486
15236	NNNNNN	V3C99_009486
15237	NNNNNN	V3C99_009486
15238	NNNNNN	V3C99_009486
15239	NNNNNN	V3C99_009486
15240	NNNNNN	V3C99_009486
15242	NNNNNN	V3C99_009487
15243	fem-1	V3C99_009488
15244	unc-5	V3C99_009489
15247	NNNNNN	V3C99_009492
15249	NNNNNN	V3C99_009493
15250	rbm-39	V3C99_009494
15251	NNNNNN	V3C99_009495
15252	NNNNNN	V3C99_009496
15253	NNNNNN	V3C99_009497
15255	NNNNNN	V3C99_009497
15256	NNNNNN	V3C99_009497
15257	twf-2	V3C99_009498
15258	nas-39	V3C99_009500
15259	F38E9.1	V3C99_009501
15260	inso-1	V3C99_009503
15261	rpb-5	V3C99_009504
15262	T20D3.6	V3C99_009505
15263	NNNNNN	V3C99_009507
15265	acox-1.1	V3C99_009513
15266	acox-1.2	V3C99_009513
15267	acox-1.3	V3C99_009513
15268	acox-1.4	V3C99_009513
15270	acox-1.1	V3C99_009514
15271	acox-1.2	V3C99_009514
15272	acox-1.3	V3C99_009514
15273	acox-1.4	V3C99_009514
15275	daf-10	V3C99_009520
15277	NNNNNN	V3C99_009524
15278	rbd-1	V3C99_009525
15279	NNNNNN	V3C99_009526
15280	NNNNNN	V3C99_009531
15283	NNNNNN	V3C99_009537
15284	asp-4	V3C99_009538
15285	NNNNNN	V3C99_009545
15286	scyl-1	V3C99_009547
15287	rsp-6	V3C99_009548
15288	NNNNNN	V3C99_009549
15289	itr-1	V3C99_009556
15295	NNNNNN	V3C99_009568
15296	NNNNNN	V3C99_009569
15297	NNNNNN	V3C99_009569
15298	NNNNNN	V3C99_009569
15299	NNNNNN	V3C99_009569
15300	NNNNNN	V3C99_009569
15301	NNNNNN	V3C99_009569
15302	NNNNNN	V3C99_009574
15303	NNNNNN	V3C99_009574
15304	ifta-2	V3C99_009576
15305	efa-6	V3C99_009581
15306	unc-5	V3C99_009582
15307	valv-1	V3C99_009583
15310	T05A12.4	V3C99_009586
15313	NNNNNN	V3C99_009588
15317	hst-3.2	V3C99_009590
15319	jip-1	V3C99_009607
15324	NNNNNN	V3C99_009622
15330	ZK795.3	V3C99_009627
15331	ddb-1	V3C99_009628
15333	NNNNNN	V3C99_009629
15334	Y41D4A.4	V3C99_009630
15335	Y41D4A.6	V3C99_009631
15337	ric-3	V3C99_009633
15338	cdgs-1	V3C99_009634
15339	zgpa-1	V3C99_009635
15340	dif-1	V3C99_009636
15343	gem-4	V3C99_009645
15344	nra-1	V3C99_009645
15345	NNNNNN	V3C99_009647
15346	let-60	V3C99_009648
15347	ZK792.5	V3C99_009649
15348	ZK792.4	V3C99_009650
15349	NNNNNN	V3C99_009651
15373	NNNNNN	V3C99_009656
15375	NNNNNN	V3C99_009658
15376	NNNNNN	V3C99_009659
15377	exos-7	V3C99_009660
15378	osm-9	V3C99_009663
15379	pigs-1	V3C99_009664
15380	tsp-12	V3C99_009665
15381	Y73F8A.27	V3C99_009666
15382	Y73F8A.26	V3C99_009667
15383	F37B12.3	V3C99_009669
15385	vha-15	V3C99_009670
15386	pus-1	V3C99_009671
15388	tmed-1	V3C99_009673
15389	daf-1	V3C99_009674
15390	col-99	V3C99_009675
15391	NNNNNN	V3C99_009676
15392	NNNNNN	V3C99_009677
15393	NNNNNN	V3C99_009678
15394	NNNNNN	V3C99_009679
15395	NNNNNN	V3C99_009679
15397	cogc-2	V3C99_009681
15398	ufl-1	V3C99_009682
15400	tyr-6	V3C99_009684
15401	ost-1	V3C99_009685
15402	mccc-1	V3C99_009686
15403	lcmt-1	V3C99_009687
15404	perm-3	V3C99_009687
15405	exos-4.1	V3C99_009688
15407	fask-1	V3C99_009689
15408	B0564.2	V3C99_009691
15409	best-1	V3C99_009692
15410	best-2	V3C99_009692
15411	unc-30	V3C99_009693
15412	NNNNNN	V3C99_009696
15414	NNNNNN	V3C99_009700
15415	NNNNNN	V3C99_009700
15416	NNNNNN	V3C99_009700
15417	NNNNNN	V3C99_009700
15418	NNNNNN	V3C99_009700
15419	NNNNNN	V3C99_009700
15420	C33A12.3	V3C99_009702
15421	pezo-1	V3C99_009703
15422	NNNNNN	V3C99_009705
15423	NNNNNN	V3C99_009705
15424	sec-31	V3C99_009706
15427	NNNNNN	V3C99_009710
15430	NNNNNN	V3C99_009710
15431	NNNNNN	V3C99_009710
15432	NNNNNN	V3C99_009710
15433	NNNNNN	V3C99_009710
15434	NNNNNN	V3C99_009710
15435	NNNNNN	V3C99_009710
15436	NNNNNN	V3C99_009710
15437	NNNNNN	V3C99_009710
15438	NNNNNN	V3C99_009710
15439	NNNNNN	V3C99_009710
15447	NNNNNN	V3C99_009714
15448	R05G6.10	V3C99_009715
15449	NNNNNN	V3C99_009716
15450	acs-20	V3C99_009717
15451	ethe-1	V3C99_009718
15452	NNNNNN	V3C99_009719
15453	NNNNNN	V3C99_009719
15462	NNNNNN	V3C99_009719
15463	NNNNNN	V3C99_009719
15465	NNNNNN	V3C99_009719
15467	NNNNNN	V3C99_009720
15468	NNNNNN	V3C99_009720
15477	NNNNNN	V3C99_009720
15478	NNNNNN	V3C99_009720
15480	NNNNNN	V3C99_009720
15482	NNNNNN	V3C99_009721
15483	NNNNNN	V3C99_009721
15492	NNNNNN	V3C99_009721
15493	NNNNNN	V3C99_009721
15495	NNNNNN	V3C99_009721
15509	zen-4	V3C99_009723
15510	F52C12.2	V3C99_009725
15511	F52C12.2	V3C99_009726
15512	F52C12.6	V3C99_009727
15513	tdpo-1	V3C99_009728
15514	ulp-3	V3C99_009729
15515	Y48A5A.1	V3C99_009730
15516	Y48A5A.3	V3C99_009731
15517	trxr-1	V3C99_009732
15518	adah-1	V3C99_009733
15519	NNNNNN	V3C99_009735
15520	NNNNNN	V3C99_009736
15521	Y59E9AL.4	V3C99_009746
15522	NNNNNN	V3C99_009747
15523	rig-6	V3C99_009748
15525	NNNNNN	V3C99_009749
15527	NNNNNN	V3C99_009750
15545	NNNNNN	V3C99_009756
15546	NNNNNN	V3C99_009757
15554	NNNNNN	V3C99_009763
15579	cnnm-1	V3C99_009771
15580	parg-1	V3C99_009772
15581	parg-2	V3C99_009772
15591	NNNNNN	V3C99_009779
15593	wee-1.3	V3C99_009780
15595	cdk-1	V3C99_009781
15596	NNNNNN	V3C99_009782
15597	dlat-2	V3C99_009783
15598	mrps-25	V3C99_009784
15599	NNNNNN	V3C99_009784
15600	abhd-14	V3C99_009789
15601	snn-1	V3C99_009790
15602	act-2	V3C99_009792
15605	NNNNNN	V3C99_009793
15608	NNNNNN	V3C99_009793
15609	NNNNNN	V3C99_009793
